numGPU,numWK,dt2Iter,numWKtot,Loss,LossV,Ex2Sec,Ex2SecV,Time2Batch,Time2BatchV
1.0,1.0,3.13615,1.0,5.09,0.0,7.53333333333,0.449691252108,3.20466666667,0.210651898217
1.0,2.0,3.27725,2.0,4.54,0.19,15.3666666667,0.262466929134,1.56541666667,0.0252395467911
1.0,3.0,3.374,3.0,4.81666666667,0.810774663859,21.5666666667,0.0471404520791,1.11133333333,0.00749814791947
1.0,4.0,3.51116666667,4.0,4.4975,0.238785992051,26.8,1.33666251038,0.901833333333,0.0579105212567
1.0,5.0,3.7357,5.0,4.492,0.171860408472,33.9666666667,1.75562587764,0.708653333333,0.037862098316
2.0,1.0,1.53793333333,2.0,5.58,0.45,10.3,0.571547606649,0.778833333333,0.0415107081232
2.0,2.0,3.84206666667,4.0,4.94,0.236959912221,25.8,2.34236347877,0.9390625,0.0936789244463
2.0,3.0,4.54628333333,6.0,4.575,0.167007983841,33.3333333333,3.67090663945,0.728296296296,0.0832426646669
2.0,4.0,5.08235,8.0,4.67375,0.312007111297,35.7,9.19238815543,0.779130208333,0.319550213841
2.0,5.0,5.86521666667,10.0,4.928,0.438401642333,46.9,3.28734948958,0.513476666667,0.0366042500568
4.0,1.0,4.02415,4.0,4.4675,0.120286117237,26.0666666667,0.817856276426,0.923458333333,0.0304543431039
4.0,2.0,4.96513333333,8.0,4.87625,0.259081912723,39.2333333333,4.53308822867,0.618890625,0.0671664822988
4.0,3.0,6.01111666667,12.0,5.8225,0.527543442129,46.5666666667,3.59845645922,0.519516203704,0.0358783299496
4.0,4.0,8.49843333333,16.0,5.625,0.638318102516,46.9333333333,7.19506003372,0.525134114583,0.0839826729378
4.0,5.0,9.6863,20.0,7.2205,0.366162190839,54.0,0.0816496580928,0.444198333333,0.00389268509158
